,,,Scor,Scor,Scor,Scor,,,Spec,Spec,,Shot,Shot,-additional
Rk,Player,Tm,G,A,PTS,+/-,PS,EV,PP,SH,GW,S,S%,-9999
585,Jack McBain,ARI,12,14,26,-8,1.3,12,0,0,2,85,14.1,mcbaija03
586,Jake McCabe,TOT,3,22,25,19,5.9,3,0,0,1,96,3.1,mccabja01
586,Jake McCabe,CHI,2,18,20,7,4.1,2,0,0,1,67,3.0,mccabja01
586,Jake McCabe,TOR,1,4,5,12,1.8,1,0,0,0,29,3.4,mccabja01
587,Jared McCann,SEA,40,30,70,18,8.9,30,7,3,3,210,19.0,mccanja01
588,Michael McCarron,NSH,2,2,4,-3,0.0,2,0,0,0,39,5.1,mccarmi01
589,Connor McDavid,EDM,64,89,153,22,18.2,39,21,4,11,352,18.2,mcdavco01
590,Ryan McDonagh,NSH,2,18,20,12,5.0,2,0,0,1,78,2.6,mcdonry01
591,Aidan McDonough,VAN,1,0,1,-2,0.0,1,0,0,0,4,25.0,mcdonai01
592,Hugh McGing,STL,0,0,0,0,0.0,0,0,0,0,0,,mcginhu01
593,Brock McGinn,TOT,12,7,19,-6,1.1,10,0,2,3,91,13.2,mcginbr01
593,Brock McGinn,PIT,10,6,16,0,1.2,8,0,2,3,77,13.0,mcginbr01
593,Brock McGinn,ANA,2,1,3,-6,0.0,2,0,0,0,14,14.3,mcginbr01
594,Dylan McIlrath,WSH,0,1,1,-6,-0.3,0,0,0,0,1,0.0,mcilrdy01
595,Roland McKeown,NSH,0,0,0,1,0.2,0,0,0,0,3,0.0,mckeoro01
596,Hunter McKown,CBJ,0,2,2,-4,-0.2,0,0,0,0,13,0.0,mckowhu01
597,Marc McLaughlin,BOS,0,0,0,-1,-0.1,0,0,0,0,3,0.0,mclauma01
598,Michael McLeod,NJD,4,22,26,6,1.4,4,0,0,1,90,4.4,mcleomi01
599,Ryan McLeod,EDM,11,12,23,4,1.9,9,0,2,0,78,14.1,mcleory01
600,Bobby McMann,TOR,0,1,1,-2,-0.1,0,0,0,0,18,0.0,mcmanbo02
601,Connor McMichael,WSH,0,0,0,0,-0.1,0,0,0,0,2,0.0,mcmicco01
602,Brayden McNabb,VEG,1,16,17,17,4.2,1,0,0,0,89,1.1,mcnabbr01
603,Mason McTavish,ANA,17,26,43,-19,3.0,10,7,0,1,161,10.6,mctavma01
604,Cole McWard,VAN,1,0,1,0,0.2,1,0,0,0,6,16.7,mcwarco01
605,Jaycob Megna,TOT,1,11,12,3,2.5,1,0,0,0,56,1.8,megnaja02
605,Jaycob Megna,SJS,1,11,12,6,2.7,1,0,0,0,49,2.0,megnaja02
605,Jaycob Megna,SEA,0,0,0,-3,-0.2,0,0,0,0,7,0.0,megnaja02
