"","event_type","xg","secondary_type","event_goalie_id","goal"
"1177","SHOT",0.00042277219472453,"wrist",8476914,0
"1181","SHOT",0.0629881024360657,"tip-in",8476914,0
"1182","SHOT",0.00134662841446698,"wrist",8476914,0
"1186","SHOT",0.00330992205999792,"wrist",8476914,0
"1191","GOAL",0.000512680446263403,"snap",8476914,1
"1193","SHOT",0.000716516689863056,"wrist",8476914,0
"1195","SHOT",0.175691694021225,"backhand",8476914,0
"1201","SHOT",0.000462981639429927,"wrist",8476914,0
"1208","GOAL",0.119542978703976,"backhand",8476914,1
"1210","SHOT",0.0226751063019037,"backhand",8475883,0
"1215","SHOT",0.00109632161911577,"wrist",8475883,0
"1226","SHOT",0.000331554794684052,"wrist",8476914,0
"1231","SHOT",0.001418964471668,"wrist",8475883,0
"1235","SHOT",0.0034694061614573,"wrist",8476914,0
"1241","GOAL",0.00925225950777531,"wrist",8475883,1
"1246","GOAL",0.00328794843517244,"wrist",NA,1
"1250","SHOT",0.00107886199839413,"snap",8476914,0
"1260","GOAL",0.000498681794852018,"slap",8476914,1
"1263","SHOT",0.00240095076151192,"snap",8476914,0
"1273","SHOT",0.00231457222253084,"slap",8475883,0
"1275","GOAL",0.00769238173961639,"wrist",8476914,1
"1277","SHOT",0.000577244674786925,"wrist",8476914,0
"1289","SHOT",0.00051529734628275,"wrist",8476914,0
"1300","SHOT",0.114150278270245,"tip-in",8476914,0
"1304","SHOT",0.00140434538479894,"slap",8475883,0
"1309","SHOT",0.0309259798377752,"snap",8475883,0
"1312","SHOT",0.00147937354631722,"wrist",8475883,0
"1321","SHOT",0.000798513879999518,"wrist",8474596,0
"1323","SHOT",0.000600153580307961,"wrist",8478492,0
"1324","SHOT",0.000427146587753668,"wrist",8474596,0
"1331","GOAL",0.00929067749530077,"wrist",NA,1
"1333","SHOT",0.000467216683318838,"wrist",8478492,0
"1334","SHOT",0.00469771446660161,"wrist",8474596,0
"1337","SHOT",0.00186452153138816,"snap",8474596,0
"1343","SHOT",0.00117927847895771,"wrist",8474596,0
"1344","SHOT",0.00362315867096186,"wrist",8478492,0
"1345","SHOT",0.00231318618170917,"slap",8478492,0
"1352","SHOT",0.00124019989743829,"wrist",8478492,0
"1353","SHOT",0.00156740890815854,"wrist",8478492,0
"1369","SHOT",0.414805233478546,"tip-in",8474596,0
"1372","SHOT",0.00749656511470675,"wrist",8474596,0
"1387","SHOT",0.00239837891422212,"wrist",8474596,0
"1393","SHOT",0.00130495149642229,"wrist",8478492,0
"1401","SHOT",0.000512696569785476,"wrist",8478492,0
"1404","SHOT",0.000538542517460883,"wrist",8478492,0
"1408","SHOT",0.00200704718008637,"wrist",8474596,0
"1416","SHOT",0.000357769895344973,"wrist",8474596,0
"1417","SHOT",0.00506711611524224,"tip-in",8478492,0
"1425","GOAL",0.142042085528374,"deflected",8478492,1
"1428","SHOT",0.000367853528587148,"wrist",8474596,0
"1435","SHOT",0.00175847730133682,"slap",8478492,0
"1443","SHOT",0.004223866853863,"wrist",8474596,0
"1445","SHOT",0.00269205984659493,"slap",8474596,0
"1458","SHOT",0.000514736282639205,"wrist",8474596,0
"1460","GOAL",0.000985455117188394,"wrist",8474596,1
"1474","SHOT",0.00148567277938128,"slap",8474596,0
"1475","SHOT",0.00191470223944634,"snap",8474596,0
"1483","SHOT",0.0023471093736589,"wrist",8474596,0
"1495","GOAL",0.0081779295578599,"wrist",8474596,1
"1506","SHOT",0.0029772084672004,"wrist",8474596,0
"1509","SHOT",0.187871217727661,"deflected",8474596,0
"1510","SHOT",0.00528945634141564,"bat",8474596,0
"1511","SHOT",0.00279918825253844,"wrist",8474596,0
"1513","SHOT",NA,"wrist",8474596,0
"1518","SHOT",0.00771608343347907,"wrist",8474596,0
"1519","GOAL",0.00217196810990572,"slap",8474596,1
"1527","SHOT",0.00283981719985604,"snap",8474596,0
"1535","SHOT",0.000438447896158323,"wrist",8474596,0
"1541","SHOT",0.00116067775525153,"wrist",8474596,0
"1544","SHOT",0.00453651696443558,NA,8474596,0
"1550","GOAL",0.00281277461908758,"wrist",8478492,1
"1554","SHOT",0.219394996762276,"backhand",8478492,0
"1559","GOAL",0.11825954169035,"tip-in",8478492,1
"1567","SHOT",0.000706923427060246,"wrist",8474596,0
"1578","SHOT",0.000539840722922236,"wrist",8478492,0
"1583","SHOT",0.00125402584671974,"wrist",8478492,0
"1584","SHOT",0.00442840112373233,"wrist",8478492,0
"1592","SHOT",0.000345115171512589,"wrist",8474596,0
"1595","SHOT",0.000776834320276976,"wrist",8474596,0
"1597","SHOT",0.000732379441615194,"wrist",8474596,0
"1602","GOAL",0.0864828452467918,"backhand",8478492,1
"1616","SHOT",0.00164776656311005,"wrist",8474596,0
"1619","GOAL",0.0052917804569006,"wrist",8474596,1
"1622","SHOT",0.00180712656583637,"wrist",8478492,0
"1628","SHOT",0.168865293264389,"tip-in",8474596,0
"1634","GOAL",0.0144495712593198,"wrist",8474596,1
"1637","SHOT",0.00031661192770116,"wrist",8474596,0
"1640","SHOT",0.00040319628897123,"wrist",8478492,0
"1645","SHOT",NA,"wrist",8474596,0
"1648","SHOT",NA,"wrist",8474596,0
