"","event_type","xg","secondary_type","event_goalie_id","goal","goalie_id_stan"
"167691","SHOT",-0.387217623258142,"snap",8476914,0,26
"167699","SHOT",-0.265511804923693,"wrist",8482076,0,83
"167703","SHOT",1.26621441647985,"wrap-around",8476914,0,26
"167704","SHOT",-0.103538679469632,"wrist",8476914,0,26
"167712","SHOT",-0.386692711714089,"snap",8476914,0,26
"167713","SHOT",-0.351791198984595,"snap",8482076,0,83
"167721","SHOT",-0.379373622886636,"slap",8482076,0,83
"167727","SHOT",-0.377066146127881,"snap",8476914,0,26
"167737","SHOT",-0.381476394315467,"wrist",8482076,0,83
"167738","SHOT",-0.345391068318014,"wrist",8476914,0,26
"167739","SHOT",-0.361232938773459,"wrist",8476914,0,26
"167748","SHOT",-0.338931331136087,"wrist",8482076,0,83
"167750","SHOT",-0.362981317848152,"wrist",8482076,0,83
"167759","GOAL",-0.368194552342909,"snap",8476914,1,26
"167767","SHOT",-0.346329335372677,"wrist",8482076,0,83
"167772","SHOT",-0.365067901785926,"slap",8482076,0,83
"167781","SHOT",-0.385408337689631,"snap",8476914,0,26
"167783","SHOT",2.19923086878947,"backhand",8476914,0,26
"167796","SHOT",-0.385940156786286,"snap",8482076,0,83
"167797","SHOT",-0.253787410735649,"wrist",8482076,0,83
"167798","SHOT",-0.391740479139938,"wrist",8476914,0,26
"167803","SHOT",-0.274363985012398,"snap",8482076,0,83
"167804","SHOT",-0.38271304129221,"wrist",8476914,0,26
"167807","SHOT",0.316874334269553,"backhand",8476914,0,26
"167810","SHOT",-0.368549296320049,"slap",8482076,0,83
"167812","SHOT",-0.294316816015572,"snap",8482076,0,83
"167814","GOAL",-0.267494951811699,"wrist",8476914,1,26
"167821","SHOT",-0.302408778618278,"wrist",8476914,0,26
"167822","SHOT",-0.388319434790978,"snap",8482076,0,83
"167823","SHOT",-0.380628636390412,"wrist",8482076,0,83
"167831","SHOT",-0.385137456226274,"snap",8482076,0,83
"167835","SHOT",-0.386859135479888,"slap",8476914,0,26
"167840","SHOT",-0.358709264344663,"wrist",8482076,0,83
"167852","GOAL",-0.38785604529488,"slap",8482076,1,83
"167856","SHOT",-0.388337595990711,"snap",8476914,0,26
"167858","SHOT",-0.367750670651423,"snap",8476914,0,26
"167861","SHOT",-0.33575955819375,"wrist",8482076,0,83
"167862","SHOT",-0.382557683812379,"wrist",8482076,0,83
"167869","SHOT",-0.386181381287671,"snap",8476914,0,26
"167873","GOAL",-0.383640209550748,"snap",8476914,1,26
"167876","SHOT",-0.367983344126271,"snap",8482076,0,83
"167890","SHOT",-0.37293094155914,"wrist",8479292,0,57
"167891","SHOT",-0.386530116019149,"wrist",8479292,0,57
"167895","SHOT",0.136622096458414,"deflected",8479292,0,57
"167900","SHOT",-0.388243483794744,"slap",8478009,0,43
"167914","SHOT",-0.386405957167105,"wrist",8478009,0,43
"167929","SHOT",-0.38047474528972,"wrist",8475311,0,9
"167933","SHOT",-0.295730159111855,"wrist",8475311,0,9
"167938","SHOT",-0.384647459734147,"wrist",8475311,0,9
"167942","SHOT",-0.337655930342428,"wrist",8478009,0,43
"167951","SHOT",-0.366737650770878,"wrist",8475311,0,9
"167959","SHOT",-0.386640559863048,"wrist",8478009,0,43
"167962","SHOT",-0.384988480147838,"wrist",8475311,0,9
"167967","SHOT",-0.365507254299375,"wrist",8478009,0,43
"167970","SHOT",-0.336555957772227,"wrist",8478009,0,43
"167981","SHOT",-0.345705882979443,"wrist",8475311,0,9
"167982","SHOT",-0.373692531315932,"wrist",8475311,0,9
"167991","SHOT",-0.378525927415302,"wrist",8478009,0,43
"167995","SHOT",-0.307787566804399,"wrist",8478009,0,43
"168009","SHOT",-0.368845669167768,"wrist",8478009,0,43
"168011","SHOT",0.328264688316595,"backhand",8475311,0,9
"168014","SHOT",-0.38465702285317,"wrist",8475311,0,9
"168026","GOAL",-0.364421818902052,"slap",8475311,1,9
"168030","SHOT",-0.387634671238039,"slap",8478009,0,43
"168032","GOAL",-0.385843569113052,"slap",8475311,1,9
"168034","SHOT",-0.388212611551812,"slap",8475311,0,9
"168035","SHOT",-0.270490567618661,"wrist",8475311,0,9
"168036","SHOT",-0.234779249576792,"wrist",8475311,0,9
"168039","SHOT",-0.388566312637372,"wrist",8478009,0,43
"168049","SHOT",-0.374006021616272,"wrist",8478009,0,43
"168064","SHOT",-0.37927978831029,"wrist",8478009,0,43
"168065","SHOT",-0.39211328817658,"wrist",8475311,0,9
"168068","SHOT",0.730056979824553,"backhand",8475311,0,9
"168069","SHOT",-0.332275194969074,"wrist",8475311,0,9
